action,uniqueId,birthDate,firstName,lastName,middleName,title,preferredFirstName,preferredLastName,enrollmentDate,enrollmentGradeLevel,fullTime,schoolId
delete,604834,,,,,,,,,,,
insert,604835,2016-09-29,Diana,Holt,Emily,Ms,,,2021-08-23,Ninth grade,1,255901001
insert,604836,2007-03-30,Allie,Combs,Allison,Ms,,,2021-08-23,Tenth grade,1,255901001
insert,604837,2012-12-19,Glenn,Gross,Max,Mr,,,2021-08-23,Eleventh grade,0,255901002
update,604839,2011-04-26,Meredith,Lloyd,Felicia,Mrs,,,2021-08-23,Eleventh grade,1,255901001
update,604838,2005-11-29,Brent,Hartman,,Mr,,,2021-08-23,Tenth grade,1,255901001
insert,604841,2010-12-15,Mathew,Ramirez,,Mr,,,2021-08-23,Twelfth grade,1,255901002
insert,604840,2015-12-21,Nora,Blevins,Patricia,Ms,,,2021-08-23,Ninth grade,1,255901001
update,604842,2015-12-02,Frederick,Munoz,Peter,Mr,,,2021-08-23,Twelfth grade,1,255901001
insert,604843,2009-09-24,Byron,Wilkerson,Keith,Mr,Page,Jackson,2021-08-23,Ninth grade,0,255901001
insert,604844,2009-03-21,Willie,Raymond,Allan,Mr,Will,Ray,2021-08-23,Twelfth grade,1,255901001
delete,604845,,,,,,,,,,,
